Ticker Symbol,Period Ending,Net Income,Profit Margin,Quick Ratio,Total Assets,Total Liabilities,Earnings Per Share,Estimated Shares Outstanding,Total Current Assets,Total Current Liabilities,Closing Price
PCAR,2015-12-31,1604000000.0,9.0,146.0,21109800000.0,11605100000.0,4.52,354867256.63699996,5385700000.0,3153400000.0,48.02
PCG,2015-12-31,888000000.0,5.0,84.0,63234000000.0,46406000000.0,1.81,490607734.807,5813000000.0,6363000000.0,53.919998
PCLN,2015-12-31,2551360000.0,28.0,247.0,17420575000.0,8625106000.0,50.09,50935516.0711,3553237000.0,1439310000.0,1289.160034
PEG,2015-12-31,1679000000.0,16.0,70.0,37535000000.0,24469000000.0,3.32,505722891.566,3494000000.0,3575000000.0,38.990002000000004
PFE,2015-12-31,6960000000.0,14.0,123.0,167460000000.0,102741000000.0,1.13,6159292035.4,43804000000.0,29399000000.0,32.75
PFG,2015-12-31,1234000000.0,10.0,,218660300000.0,209348700000.0,4.11,300243309.00200003,0.0,0.0,45.470001
PG,2015-12-31,636056000.0,15.0,330.0,5609132000.0,1954295000.0,,,2915095000.0,811162000.0,80.07
PGR,2015-12-31,1267600000.0,6.0,,29819300000.0,22529900000.0,2.16,586851851.852,0.0,0.0,32.32
PHM,2015-12-31,494090000.0,8.0,,9189406000.0,4430081000.0,1.38,358036231.884,0.0,0.0,17.98
PM,2015-12-31,6873000000.0,9.0,48.0,33956000000.0,47200000000.0,4.42,1554977375.57,15804000000.0,15386000000.0,88.980003
PNC,2015-12-31,4106000000.0,25.0,,358493000000.0,313783000000.0,7.52,546010638.298,0.0,0.0,96.099998
PNR,2015-12-31,-76400000.0,1.0,108.0,11857000000.0,7848200000.0,-0.42,181904761.905,2780600000.0,1486500000.0,50.0
PNW,2015-12-31,437257000.0,13.0,42.0,15028258000.0,10444341000.0,3.94,110978934.01,890516000.0,1442317000.0,65.230003
PPG,2015-12-31,1406000000.0,10.0,108.0,17076000000.0,12093000000.0,5.18,271428571.429,6712000000.0,4695000000.0,99.769997
PPL,2015-12-31,682000000.0,9.0,59.0,39301000000.0,29382000000.0,1.01,675247524.752,2646000000.0,3876000000.0,34.34
PRU,2015-12-31,5642000000.0,10.0,,757388000000.0,715498000000.0,12.37,456103476.15199995,0.0,0.0,82.16999799999999
PSX,2015-12-31,4227000000.0,4.0,117.0,48580000000.0,25480000000.0,7.78,543316195.373,12256000000.0,7531000000.0,82.010002
PWR,2015-12-31,321824000.0,4.0,183.0,5213543000.0,2128049000.0,1.59,202405031.447,2277519000.0,1203744000.0,20.52
PX,2015-12-31,1547000000.0,14.0,111.0,18319000000.0,13930000000.0,5.39,287012987.013,2626000000.0,1893000000.0,103.18
PYPL,2015-12-31,1228000000.0,13.0,152.0,28881000000.0,15122000000.0,1.0,1228000000.0,20648000000.0,13617000000.0,36.48
R,2015-12-31,304768000.0,5.0,62.0,10952580000.0,8965469000.0,5.75,53003130.4348,1098302000.0,1680255000.0,56.560001
RCL,2015-12-31,665783000.0,8.0,17.0,20921855000.0,12858816000.0,3.03,219730363.03599998,837022000.0,4292827000.0,102.730003
REGN,2015-12-31,636056000.0,15.0,330.0,5609132000.0,1954295000.0,6.17,103088492.707,2915095000.0,811162000.0,548.1900019999999
RHI,2015-12-31,357796000.0,7.0,183.0,1671044000.0,667263000.0,2.72,131542647.059,1197997000.0,655549000.0,47.52
ROP,2015-12-31,696067000.0,19.0,198.0,10168365000.0,4869418000.0,6.92,100587716.763,1618047000.0,720128000.0,190.580002
RRC,2015-12-31,-713685000.0,60.0,115.0,6900031000.0,4140373000.0,-4.29,166360139.86,439074000.0,351720000.0,22.940001000000002
RSG,2015-12-31,749900000.0,8.0,67.0,20535900000.0,12761800000.0,2.14,350420560.748,1230300000.0,1834800000.0,44.540001000000004
SCG,2015-12-31,746000000.0,17.0,55.0,17146000000.0,11703000000.0,5.22,142911877.395,1378000000.0,1952000000.0,61.299999
SCHW,2015-12-31,1447000000.0,23.0,,183718000000.0,170316000000.0,1.04,1391346153.85,0.0,0.0,33.25
SE,2015-12-31,196000000.0,4.0,40.0,32923000000.0,26397000000.0,0.29,675862068.966,1648000000.0,3392000000.0,23.73
SEE,2015-12-31,225400000.0,3.0,86.0,7405000000.0,6877900000.0,1.63,138282208.589,2215700000.0,1807100000.0,44.93
SHW,2015-12-31,1053849000.0,9.0,77.0,5791855000.0,4923945000.0,11.38,92605360.2812,2658874000.0,2141859000.0,262.450012
SLG,2015-12-31,284084000.0,17.0,,19857941000.0,12570476000.0,1.02,278513725.49,0.0,0.0,114.029999
SNI,2015-12-31,606828000.0,20.0,177.0,6672314000.0,5148383000.0,4.68,129664102.564,1727881000.0,974649000.0,54.650002
SO,2015-12-31,2421000000.0,14.0,50.0,78318000000.0,56218000000.0,2.6,931153846.1539999,6526000000.0,9129000000.0,47.27
SPG,2015-12-31,2139375000.0,41.0,,30650673000.0,26179209000.0,5.88,363839285.714,0.0,0.0,195.16000400000001
SPGI,2015-12-31,1156000000.0,22.0,113.0,8183000000.0,7989000000.0,4.26,271361502.347,3296000000.0,2908000000.0,99.860001
SRCL,2015-12-31,267046000.0,9.0,130.0,7077450000.0,4347559000.0,3.02,88425827.8146,761828000.0,587349000.0,121.779999
SRE,2015-12-31,1350000000.0,13.0,56.0,41150000000.0,29341000000.0,5.43,248618784.53,2891000000.0,4612000000.0,94.849998
STI,2015-12-31,1933000000.0,23.0,,190817000000.0,167380000000.0,3.62,533977900.552,0.0,0.0,43.310001
STT,2015-12-31,1980000000.0,18.0,,245155000000.0,224052000000.0,4.53,437086092.715,0.0,0.0,66.57
SWN,2015-12-31,-4556000000.0,145.0,55.0,8110000000.0,5828000000.0,,,393000000.0,707000000.0,6.3
SYF,2015-12-31,2214000000.0,16.0,,84135000000.0,71531000000.0,2.66,832330827.0680001,0.0,0.0,30.43
SYK,2015-12-31,1439000000.0,14.0,180.0,16223000000.0,7712000000.0,3.82,376701570.681,7943000000.0,3502000000.0,94.25
T,2015-12-31,13345000000.0,9.0,75.0,402672000000.0,280001000000.0,2.37,5630801687.76,35992000000.0,47816000000.0,34.740002000000004
TAP,2015-12-31,359500000.0,10.0,89.0,12276300000.0,5233300000.0,1.94,185309278.35099998,1258800000.0,1217200000.0,94.540001
TDC,2015-12-31,-214000000.0,8.0,177.0,2530000000.0,1681000000.0,-1.53,139869281.046,1734000000.0,953000000.0,26.82
TGNA,2015-12-31,459522000.0,15.0,133.0,8537758000.0,6345787000.0,2.04,225255882.353,805159000.0,606783000.0,25.700001
TMK,2015-12-31,527100000.0,14.0,,19853213000.0,15797661000.0,4.21,125201900.23799999,0.0,0.0,57.59
TMO,2015-12-31,1975400000.0,12.0,90.0,40889000000.0,19538800000.0,4.96,398266129.03199995,5741200000.0,4147300000.0,142.860001
TRIP,2015-12-31,198000000.0,13.0,277.0,2128000000.0,716000000.0,1.38,143478260.87,865000000.0,312000000.0,86.150002
TRV,2015-12-31,3439000000.0,13.0,,100184000000.0,76586000000.0,10.99,312920837.125,0.0,0.0,114.290001
TSO,2015-12-31,1540000000.0,5.0,79.0,16332000000.0,11119000000.0,12.5,123200000.0,4307000000.0,2530000000.0,104.279999
TSS,2015-12-31,369041000.0,13.0,260.0,3908300000.0,2065282000.0,1.98,186384343.43400002,882902000.0,339218000.0,50.150002
TXN,2015-12-31,2986000000.0,23.0,211.0,16230000000.0,6284000000.0,2.86,1044055944.06,7074000000.0,2555000000.0,56.16
UAA,2015-12-31,232573000.0,6.0,149.0,2868900000.0,1200678000.0,,,1498763000.0,478810000.0,80.959999
UAL,2015-12-31,7340000000.0,19.0,57.0,40861000000.0,31895000000.0,19.52,376024590.16400003,7828000000.0,12414000000.0,57.509997999999996
UDR,2015-12-31,340383000.0,38.0,,7663844000.0,4764089000.0,1.3,261833076.92299998,0.0,0.0,37.759997999999996
UHS,2015-12-31,680528000.0,8.0,146.0,9634113000.0,5384466000.0,6.89,98770391.8723,1718304000.0,1100406000.0,120.019997
UNH,2015-12-31,5813000000.0,4.0,,111254000000.0,77424000000.0,6.1,952950819.6719999,0.0,0.0,118.91999799999999
UNM,2015-12-31,867100000.0,8.0,,60589700000.0,51925800000.0,3.51,247037037.037,0.0,0.0,33.52
UNP,2015-12-31,4772000000.0,22.0,106.0,54600000000.0,33898000000.0,5.51,866061705.989,4130000000.0,3206000000.0,78.510002
UPS,2015-12-31,4844000000.0,8.0,123.0,38311000000.0,35841000000.0,5.38,900371747.212,13208000000.0,10696000000.0,97.089996
UTX,2015-12-31,7608000000.0,14.0,82.0,87484000000.0,60126000000.0,8.72,872477064.22,26706000000.0,22618000000.0,96.900002
VLO,2015-12-31,3990000000.0,5.0,123.0,44343000000.0,23816000000.0,8.0,498750000.0,14972000000.0,7360000000.0,71.58000200000001
VMC,2015-12-31,221177000.0,6.0,209.0,8301632000.0,3847444000.0,1.66,133239156.627,1084591000.0,353479000.0,95.589996
VNO,2015-12-31,760434000.0,30.0,,21143293000.0,14445698000.0,3.61,210646537.396,0.0,0.0,101.160004
VRSK,2015-12-31,507577000.0,25.0,41.0,5615927000.0,4243916000.0,3.07,165334527.687,604569000.0,1479257000.0,77.510002
VRSN,2015-12-31,375236000.0,35.0,131.0,2357737000.0,3428184000.0,3.29,114053495.441,1967924000.0,1502980000.0,88.139999
VRTX,2015-12-31,-556334000.0,54.0,267.0,2498875000.0,1558908000.0,-2.31,240837229.437,1407153000.0,506349000.0,126.400002
VTR,2015-12-31,419222000.0,13.0,,22261918000.0,12697591000.0,1.26,332715873.016,0.0,0.0,56.630001
VZ,2015-12-31,17879000000.0,14.0,60.0,244640000000.0,228212000000.0,4.38,4081963470.32,22280000000.0,35052000000.0,46.77
WAT,2015-12-31,469053000.0,23.0,523.0,4268677000.0,2209826000.0,5.7,82290000.0,3213533000.0,564076000.0,135.639999
WEC,2015-12-31,640300000.0,11.0,56.0,29355200000.0,20670000000.0,2.36,271313559.322,2206800000.0,2709000000.0,52.23
WFC,2015-12-31,22894000000.0,25.0,,1787632000000.0,1594634000000.0,4.18,5477033492.82,0.0,0.0,54.889998999999996
WHR,2015-12-31,783000000.0,4.0,55.0,19010000000.0,13336000000.0,9.95,78693467.3367,6874000000.0,7744000000.0,148.570007
WM,2015-12-31,753000000.0,6.0,90.0,20367000000.0,15022000000.0,1.66,453614457.831,2345000000.0,2510000000.0,53.98
WMB,2015-12-31,-571000000.0,8.0,56.0,49020000000.0,42872000000.0,-0.76,751315789.474,1527000000.0,2497000000.0,24.41
WU,2015-12-31,837800000.0,15.0,57.0,9458900000.0,8054000000.0,1.63,513987730.061,4624600000.0,8054000000.0,18.24
WY,2015-12-31,506000000.0,7.0,184.0,12486000000.0,7617000000.0,0.89,568539325.843,2174000000.0,875000000.0,30.34
WYN,2015-12-31,612000000.0,11.0,80.0,9716000000.0,8766000000.0,5.18,118146718.14700001,1869000000.0,1957000000.0,72.879997
WYNN,2015-12-31,195290000.0,5.0,219.0,10522259000.0,10634238000.0,1.93,101186528.49700001,2505778000.0,1110171000.0,68.639999
XEC,2015-12-31,-2408948000.0,166.0,250.0,5243286000.0,2445608000.0,-25.92,92937808.642,1077930000.0,410067000.0,89.510002
XEL,2015-12-31,984485000.0,9.0,57.0,39053535000.0,28452615000.0,1.94,507466494.845,2910445000.0,4058297000.0,36.400002
XL,2015-12-31,1201560000.0,13.0,,58682938000.0,47005859000.0,4.22,284729857.82,0.0,0.0,39.82
XOM,2015-12-31,16150000000.0,6.0,49.0,336758000000.0,165947000000.0,3.85,4194805194.81,42623000000.0,53976000000.0,78.110001
XRAY,2015-12-31,251200000.0,9.0,180.0,4402900000.0,2064900000.0,1.79,140335195.53100002,1196700000.0,476000000.0,61.41
XRX,2015-12-31,474000000.0,3.0,109.0,24817000000.0,15743000000.0,0.42,1128571428.57,6685000000.0,5254000000.0,10.72
XYL,2015-12-31,340000000.0,9.0,191.0,4657000000.0,2573000000.0,1.88,180851063.83,2005000000.0,823000000.0,36.869999
YHOO,2015-12-31,-4359082000.0,88.0,588.0,45203966000.0,16160429000.0,-4.64,939457327.5860001,7507319000.0,1277380000.0,33.369999
ZBH,2015-12-31,147000000.0,2.0,223.0,27219500000.0,17331600000.0,0.78,188461538.462,5862900000.0,1617900000.0,102.470001
ZION,2015-12-31,309471000.0,14.0,,59669525000.0,52162006000.0,1.2,257892500.0,0.0,0.0,27.469998999999998
ZTS,2015-12-31,339000000.0,7.0,133.0,7913000000.0,6845000000.0,0.68,498529411.765,3830000000.0,1781000000.0,48.259997999999996
