Ticker Symbol,Period Ending,Net Income,Profit Margin,Quick Ratio,Total Assets,Total Liabilities,Earnings Per Share,Estimated Shares Outstanding,Total Current Assets,Total Current Liabilities,Closing Price
ARNC,2015-12-31,-322000000.0,1.0,87.0,36528000000.0,24482000000.0,-0.31,1038709677.42,7953000000.0,5211000000.0,9.960007000000001
ATVI,2015-12-31,892000000.0,19.0,125.0,15251000000.0,7183000000.0,1.21,737190082.645,3387000000.0,2611000000.0,39.43
AVB,2015-12-31,741733000.0,40.0,,16931305000.0,7090779000.0,5.54,133886823.105,0.0,0.0,185.320007
AWK,2015-12-31,476000000.0,15.0,40.0,17241000000.0,12180000000.0,2.66,178947368.42099997,657000000.0,1533000000.0,60.450001
AXP,2015-12-31,5163000000.0,15.0,,161184000000.0,140511000000.0,,,0.0,0.0,70.160004
BA,2015-12-31,5176000000.0,5.0,42.0,94408000000.0,88073000000.0,7.52,688297872.34,68234000000.0,50412000000.0,146.41000400000001
BAC,2015-12-31,15888000000.0,17.0,,2144316000000.0,1888111000000.0,,,0.0,0.0,17.049999
BAX,2015-12-31,968000000.0,10.0,177.0,20975000000.0,12129000000.0,1.78,543820224.719,11796000000.0,5750000000.0,38.049999
BBT,2015-12-31,2084000000.0,20.0,,209947000000.0,182641000000.0,2.59,804633204.633,0.0,0.0,38.169998
BCR,2015-12-31,135400000.0,4.0,123.0,4844000000.0,3388700000.0,1.8,75222222.2222,1969300000.0,1260700000.0,190.690002
BHI,2015-12-31,-1967000000.0,12.0,229.0,24080000000.0,7782000000.0,-4.49,438084632.51699996,9268000000.0,2775000000.0,45.759997999999996
BIIB,2015-12-31,3547000000.0,33.0,225.0,19504800000.0,10132000000.0,15.38,230624187.25599998,6700300000.0,2577700000.0,308.339996
BK,2015-12-31,3158000000.0,21.0,,393780000000.0,355743000000.0,2.73,1156776556.78,0.0,0.0,41.279999
BLL,2015-12-31,280900000.0,4.0,60.0,9777000000.0,8525700000.0,2.05,137024390.244,2184000000.0,2141600000.0,73.33000200000001
BMY,2015-12-31,1565000000.0,9.0,115.0,31748000000.0,17482000000.0,0.94,1664893617.02,10415000000.0,8017000000.0,69.519997
BSX,2015-12-31,-239000000.0,3.0,101.0,18133000000.0,11813000000.0,-0.18,1327777777.78,3471000000.0,2430000000.0,18.610001
BWA,2015-12-31,609700000.0,8.0,102.0,8825700000.0,5272000000.0,2.72,224154411.765,3135200000.0,2357200000.0,43.919998
BXP,2015-12-31,583106000.0,23.0,,18379456000.0,12670021000.0,3.79,153853825.85799998,0.0,0.0,128.600006
C,2015-12-31,17242000000.0,25.0,,1731210000000.0,1509353000000.0,5.41,3187060998.15,0.0,0.0,52.299999
CAT,2015-12-31,2512000000.0,5.0,91.0,78342000000.0,63533000000.0,3.54,709604519.7739999,33508000000.0,26242000000.0,68.690002
CB,2015-12-31,2834000000.0,15.0,,102366000000.0,73231000000.0,8.71,325373134.328,0.0,0.0,118.199997
CBG,2015-12-31,547132000.0,5.0,106.0,11017943000.0,8305291000.0,1.64,333617073.171,5305223000.0,4994157000.0,34.639998999999996
CCI,2015-12-31,1520992000.0,42.0,115.0,22036245000.0,14947024000.0,4.44,342565765.766,981245000.0,855369000.0,87.019997
CELG,2015-12-31,1602000000.0,17.0,455.0,26964400000.0,21045400000.0,2.02,793069306.9310001,9400900000.0,1968900000.0,120.68
CF,2015-12-31,664900000.0,15.0,66.0,12738900000.0,8703700000.0,2.97,223872053.872,1127100000.0,1215200000.0,41.16
CFG,2015-12-31,840000000.0,16.0,,138208000000.0,118562000000.0,1.55,541935483.8709999,0.0,0.0,26.299999
CHD,2015-12-31,410400000.0,12.0,72.0,4256900000.0,2233700000.0,3.13,131118210.86299999,906000000.0,872700000.0,86.129997
CHK,2015-12-31,-14685000000.0,115.0,67.0,17357000000.0,14960000000.0,-22.43,654703522.069,2480000000.0,3685000000.0,4.4
CHRW,2015-12-31,509699000.0,4.0,119.0,3184358000.0,2033908000.0,3.52,144800852.273,1730698000.0,1448597000.0,62.360001000000004
CHTR,2015-12-31,-271000000.0,3.0,17.0,39316000000.0,39362000000.0,-2.43,111522633.745,345000000.0,1972000000.0,184.220001
CI,2015-12-31,2094000000.0,6.0,,57088000000.0,45053000000.0,8.17,256303549.572,0.0,0.0,146.850006
CINF,2015-12-31,634000000.0,12.0,,18888000000.0,12461000000.0,3.87,163824289.40600002,0.0,0.0,60.099998
CL,2015-12-31,1384000000.0,9.0,91.0,11958000000.0,12257000000.0,1.53,904575163.3989999,4384000000.0,3534000000.0,67.529999
CMA,2015-12-31,521000000.0,18.0,,71877000000.0,64317000000.0,2.93,177815699.659,0.0,0.0,41.98
CME,2015-12-31,1247000000.0,39.0,,67371500000.0,46819700000.0,3.71,336118598.383,0.0,0.0,91.519997
CMG,2015-12-31,475602000.0,11.0,286.0,2725066000.0,597092000.0,15.3,31085098.0392,814647000.0,279942000.0,485.790009
CMI,2015-12-31,1399000000.0,7.0,138.0,15134000000.0,7728000000.0,7.86,177989821.883,7947000000.0,3803000000.0,89.18
CMS,2015-12-31,537000000.0,8.0,67.0,20299000000.0,16324000000.0,1.9,282631578.947,2320000000.0,2302000000.0,36.68
CNC,2015-12-31,355000000.0,2.0,,7339000000.0,5182000000.0,2.99,118729096.99,0.0,0.0,66.290001
CNP,2015-12-31,-692000000.0,9.0,95.0,21334000000.0,17873000000.0,-1.61,429813664.59599996,2689000000.0,2467000000.0,18.299999
COF,2015-12-31,4050000000.0,16.0,,334048000000.0,286764000000.0,7.15,566433566.434,0.0,0.0,73.209999
COG,2015-12-31,-113891000.0,8.0,54.0,5261899000.0,3252711000.0,-0.28,406753571.429,144786000.0,235552000.0,17.01
CTL,2015-12-31,878000000.0,5.0,58.0,47604000000.0,33544000000.0,1.58,555696202.532,2650000000.0,4604000000.0,25.379998999999998
CTSH,2015-12-31,1623600000.0,13.0,291.0,13065400000.0,3787300000.0,2.67,608089887.64,7908600000.0,2713700000.0,61.0
CTXS,2015-12-31,319361000.0,10.0,100.0,5467517000.0,3494071000.0,2.01,158886069.652,1683951000.0,1680969000.0,76.959999
CVS,2015-12-31,5237000000.0,3.0,65.0,92437000000.0,55241000000.0,4.66,1123819742.49,29158000000.0,23169000000.0,98.739998
CVX,2015-12-31,4587000000.0,4.0,110.0,266103000000.0,113387000000.0,2.46,1864634146.34,35347000000.0,26464000000.0,90.089996
CXO,2015-12-31,65900000.0,4.0,220.0,12641876000.0,5699325000.0,0.54,122037037.037,1314550000.0,596420000.0,91.58000200000001
D,2015-12-31,1899000000.0,16.0,35.0,58797000000.0,46133000000.0,3.21,591588785.0469999,4191000000.0,8120000000.0,68.68
DAL,2015-12-31,4526000000.0,11.0,48.0,53134000000.0,42284000000.0,5.68,796830985.915,9056000000.0,17526000000.0,51.169998
DD,2015-12-31,1953000000.0,8.0,109.0,41166000000.0,31173000000.0,2.17,900000000.0,17387000000.0,10316000000.0,67.33000200000001
DFS,2015-12-31,2297000000.0,23.0,,86936000000.0,75661000000.0,5.14,446887159.53300005,0.0,0.0,54.25
DGX,2015-12-31,709000000.0,9.0,121.0,9962000000.0,5278000000.0,4.92,144105691.057,1501000000.0,1173000000.0,71.739998
DHR,2015-12-31,3357400000.0,16.0,93.0,48222200000.0,24531900000.0,4.81,698004158.004,7836700000.0,6170400000.0,93.350003
DISCA,2015-12-31,1034000000.0,16.0,164.0,15864000000.0,10413000000.0,,,2596000000.0,1579000000.0,26.559998999999998
DISCK,2015-12-31,1034000000.0,16.0,164.0,15864000000.0,10413000000.0,,,2596000000.0,1579000000.0,25.059998999999998
DLPH,2015-12-31,1450000000.0,10.0,100.0,11973000000.0,9723000000.0,5.08,285433070.866,5121000000.0,3927000000.0,86.540001
DLR,2015-12-31,296689000.0,17.0,,11451267000.0,6951135000.0,1.56,190185256.41,0.0,0.0,76.93
DNB,2015-12-31,168800000.0,10.0,100.0,2273600000.0,3390400000.0,4.68,36068376.0684,959600000.0,959200000.0,105.800003
DOV,2015-12-31,869829000.0,13.0,118.0,8606076000.0,4961501000.0,5.52,157577717.391,2419010000.0,1367182000.0,61.68
